STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       1270;2022091506;    3;   12.4;  92.0;eor
       1270;2022091512;    3;   14.4;  78.0;eor
       1270;2022091518;    3;   13.1;  71.0;eor
       1270;2022091606;    3;   10.1;  90.0;eor
       1270;2022091612;    3;   13.1;  72.0;eor
       1270;2022091618;    3;   11.3;  64.0;eor
       1270;2022091706;    3;    9.0;  95.0;eor
       1270;2022091712;    3;   13.2;  56.0;eor
       1270;2022091718;    3;    8.8;  80.0;eor
       1270;2022091806;    3;    8.0;  87.0;eor
       1270;2022091812;    3;   10.9;  87.0;eor
       1270;2022091818;    3;    8.3;  87.0;eor
       1270;2022091906;    3;    9.0;  92.0;eor
       1270;2022091912;    3;   13.7;  70.0;eor
       1270;2022091918;    3;    9.4;  90.0;eor
       1270;2022092006;    3;    8.1;  94.0;eor
       1270;2022092012;    3;   12.5;  71.0;eor
       1270;2022092018;    3;   10.0;  82.0;eor
       1270;2022092106;    3;    3.5; 100.0;eor
       1270;2022092112;    3;   13.7;  53.0;eor
       1270;2022092118;    3;   12.1;  65.0;eor
       1270;2022092206;    3;    3.2;  97.0;eor
       1270;2022092212;    3;   15.1;  54.0;eor
       1270;2022092218;    3;   11.9;  60.0;eor
       1270;2022092306;    3;    7.8;  76.0;eor
       1270;2022092312;    3;   15.7;  50.0;eor
       1270;2022092318;    3;   12.8;  56.0;eor
       1270;2022092406;    3;    7.8;  87.0;eor
       1270;2022092412;    3;   18.0;  46.0;eor
       1270;2022092418;    3;   14.0;  65.0;eor
       1270;2022092506;    3;    9.3;  94.0;eor
       1270;2022092512;    3;   15.2;  66.0;eor
       1270;2022092518;    3;   11.4;  86.0;eor
       1270;2022092606;    3;    7.0;  92.0;eor
       1270;2022092612;    3;   13.5;  60.0;eor
       1270;2022092618;    3;   11.2;  73.0;eor
       1270;2022092706;    3;    9.3;  87.0;eor
       1270;2022092712;    3;   12.3;  69.0;eor
       1270;2022092718;    3;    7.7;  86.0;eor
       1270;2022092806;    3;    6.6;  91.0;eor
       1270;2022092812;    3;    9.9;  70.0;eor
       1270;2022092818;    3;    7.1;  92.0;eor
       1270;2022092906;    3;    6.6;  95.0;eor
       1270;2022092912;    3;   12.4;  63.0;eor
       1270;2022092918;    3;    9.8;  78.0;eor
       1270;2022093006;    3;    2.0;  97.0;eor
       1270;2022093012;    3;   14.0;  53.0;eor
       1270;2022093018;    3;   10.6;  69.0;eor
       1270;2022100100;    3;    7.9;  82.0;eor
       1270;2022100106;    3;   10.2;  74.0;eor
       1270;2022100112;    3;   11.0;  82.0;eor
       1270;2022100118;    3;   11.3;  88.0;eor
       1270;2022100200;    3;    9.9;  88.0;eor
       1270;2022100206;    3;   10.8;  90.0;eor
       1270;2022100212;    3;   14.5;  77.0;eor
       1270;2022100218;    3;   12.0;  83.0;eor
       1270;2022100300;    3;    8.0;  94.0;eor
       1270;2022100306;    3;    8.4;  95.0;eor
       1270;2022100312;    3;   14.1;  65.0;eor
       1270;2022100318;    3;   10.2;  81.0;eor
       1270;2022100400;    3;    7.3;  96.0;eor
       1270;2022100406;    3;    7.5;  96.0;eor
       1270;2022100412;    3;   15.7;  57.0;eor
       1270;2022100418;    3;   12.5;  74.0;eor
       1270;2022100500;    3;   10.6;  78.0;eor
       1270;2022100506;    3;    9.0;  87.0;eor
       1270;2022100512;    3;   16.8;  65.0;eor
       1270;2022100518;    3;   16.7;  73.0;eor
       1270;2022100600;    3;   15.4;  77.0;eor
       1270;2022100606;    3;   12.5;  77.0;eor
       1270;2022100612;    3;   15.7;  55.0;eor
       1270;2022100618;    3;   12.4;  62.0;eor
       1270;2022100700;    3;    6.5;  86.0;eor
       1270;2022100706;    3;    3.9;  92.0;eor
       1270;2022100712;    3;   16.8;  54.0;eor
       1270;2022100718;    3;   12.7;  79.0;eor
       1270;2022100800;    3;   10.6;  92.0;eor
       1270;2022100806;    3;    9.4;  84.0;eor
       1270;2022100812;    3;   12.6;  78.0;eor
       1270;2022100818;    3;    9.2;  83.0;eor
       1270;2022100900;    3;    5.2;  92.0;eor
       1270;2022100906;    3;    2.4;  96.0;eor
       1270;2022100912;    3;   14.2;  50.0;eor
       1270;2022100918;    3;   11.1;  68.0;eor
       1270;2022101000;    3;    6.8;  79.0;eor
       1270;2022101006;    3;    5.3;  89.0;eor
       1270;2022101012;    3;   17.7;  59.0;eor
       1270;2022101018;    3;   13.9;  73.0;eor
       1270;2022101100;    3;   11.0;  85.0;eor
       1270;2022101106;    3;    5.7;  95.0;eor
       1270;2022101112;    3;   12.8;  54.0;eor
       1270;2022101118;    3;   11.2;  57.0;eor
       1270;2022101200;    3;    4.7;  88.0;eor
       1270;2022101206;    3;    0.9;  97.0;eor
       1270;2022101212;    3;   12.8;  66.0;eor
       1270;2022101218;    3;   12.7;  70.0;eor
       1270;2022101300;    3;    7.6;  96.0;eor
       1270;2022101306;    3;    7.8;  97.0;eor
       1270;2022101312;    3;   15.4;  65.0;eor
       1270;2022101318;    3;   11.6;  82.0;eor
       1270;2022101400;    3;   10.1;  91.0;eor
       1270;2022101406;    3;   11.7;  89.0;eor
       1270;2022101412;    3;   15.8;  72.0;eor
       1270;2022101418;    3;   13.7;  86.0;eor
       1270;2022101500;    3;   13.7;  88.0;eor
       1270;2022101506;    3;   12.2;  95.0;eor
       1270;2022101512;    3;   16.7;  76.0;eor
       1270;2022101518;    3;   16.6;  80.0;eor
       1270;2022101600;    3;   13.7;  93.0;eor
       1270;2022101606;    3;   14.2;  89.0;eor
       1270;2022101612;    3;   16.7;  90.0;eor
       1270;2022101618;    3;   15.6;  90.0;eor
       1270;2022101700;    3;   15.3;  85.0;eor
       1270;2022101706;    3;   15.0;  81.0;eor
       1270;2022101712;    3;   24.4;  45.0;eor
       1270;2022101718;    3;   18.9;  68.0;eor
       1270;2022101800;    3;   15.1;  88.0;eor
       1270;2022101806;    3;   14.5; 100.0;eor
       1270;2022101812;    3;   14.7;  99.0;eor
       1270;2022101818;    3;   13.5;  98.0;eor
       1270;2022101900;    3;    9.5;  98.0;eor
       1270;2022101906;    3;    5.5; 100.0;eor
       1270;2022101912;    3;   10.7;  77.0;eor
       1270;2022101918;    3;    7.5;  82.0;eor
       1270;2022102000;    3;    5.1;  91.0;eor
       1270;2022102006;    3;    2.4;  95.0;eor
       1270;2022102012;    3;   13.3;  71.0;eor
       1270;2022102018;    3;   12.2;  80.0;eor
       1270;2022102100;    3;   12.1;  79.0;eor
       1270;2022102106;    3;   10.8;  86.0;eor
       1270;2022102112;    3;   13.7;  95.0;eor
       1270;2022102118;    3;   12.8;  92.0;eor
       1270;2022102200;    3;   13.0;  97.0;eor
       1270;2022102206;    3;   13.3;  93.0;eor
       1270;2022102212;    3;   16.1;  76.0;eor
       1270;2022102218;    3;   13.3;  87.0;eor
       1270;2022102300;    3;   11.5;  92.0;eor
       1270;2022102306;    3;   10.9;  90.0;eor
       1270;2022102312;    3;   18.5;  59.0;eor
       1270;2022102318;    3;   15.8;  70.0;eor
       1270;2022102400;    3;   12.9;  95.0;eor
       1270;2022102406;    3;   14.6;  81.0;eor
       1270;2022102412;    3;   17.9;  72.0;eor
       1270;2022102418;    3;   15.5;  79.0;eor
       1270;2022102500;    3;   13.5;  84.0;eor
       1270;2022102506;    3;   11.6;  87.0;eor
       1270;2022102512;    3;   14.7;  75.0;eor
       1270;2022102518;    3;   10.9;  85.0;eor
       1270;2022102600;    3;    9.5;  89.0;eor
       1270;2022102606;    3;   10.4;  89.0;eor
       1270;2022102612;    3;   14.7;  81.0;eor
       1270;2022102618;    3;   13.8;  86.0;eor
       1270;2022102700;    3;   11.8;  96.0;eor
       1270;2022102706;    3;    9.8;  98.0;eor
       1270;2022102712;    3;   19.9;  63.0;eor
       1270;2022102718;    3;   15.8;  80.0;eor
       1270;2022102800;    3;   15.9;  75.0;eor
       1270;2022102806;    3;   15.2;  77.0;eor
       1270;2022102812;    3;   23.0;  48.0;eor
       1270;2022102818;    3;   18.1;  64.0;eor
       1270;2022102900;    3;   16.3;  77.0;eor
       1270;2022102906;    3;   13.2;  89.0;eor
       1270;2022102912;    3;   19.3;  67.0;eor
       1270;2022102918;    3;   15.9;  74.0;eor
       1270;2022103000;    3;   16.5;  70.0;eor
       1270;2022103006;    3;   12.9;  83.0;eor
       1270;2022103012;    3;   20.3;  62.0;eor
       1270;2022103018;    3;   16.4;  63.0;eor
       1270;2022103100;    3;   16.3;  62.0;eor
       1270;2022103106;    3;    9.1;  90.0;eor
       1270;2022103112;    3;   15.9;  76.0;eor
       1270;2022103118;    3;   13.6;  94.0;eor
       1270;2022110100;    3;   11.3;  96.0;eor
       1270;2022110106;    3;   12.4;  88.0;eor
       1270;2022110112;    3;   16.3;  74.0;eor
       1270;2022110118;    3;    9.9;  72.0;eor
       1270;2022110200;    3;    9.4;  76.0;eor
       1270;2022110206;    3;    8.6;  84.0;eor
       1270;2022110212;    3;   13.1;  62.0;eor
       1270;2022110218;    3;    8.7;  75.0;eor
       1270;2022110300;    3;    5.9;  85.0;eor
       1270;2022110306;    3;    6.6;  84.0;eor
       1270;2022110312;    3;   13.9;  61.0;eor
       1270;2022110318;    3;   11.6;  72.0;eor
       1270;2022110400;    3;   10.8;  75.0;eor
       1270;2022110406;    3;    9.2;  91.0;eor
       1270;2022110412;    3;    9.9;  77.0;eor
       1270;2022110418;    3;    8.1;  83.0;eor
       1270;2022110500;    3;    7.5;  93.0;eor
       1270;2022110506;    3;    6.7;  97.0;eor
       1270;2022110512;    3;   10.6;  73.0;eor
       1270;2022110518;    3;    6.3;  81.0;eor
       1270;2022110600;    3;    4.7;  89.0;eor
       1270;2022110606;    3;    3.9;  92.0;eor
       1270;2022110612;    3;   10.9;  57.0;eor
       1270;2022110618;    3;    7.5;  76.0;eor
       1270;2022110700;    3;    7.2;  78.0;eor
       1270;2022110706;    3;    7.9;  86.0;eor
       1270;2022110712;    3;   12.1;  73.0;eor
       1270;2022110718;    3;   11.0;  79.0;eor
       1270;2022110800;    3;    8.6;  89.0;eor
       1270;2022110806;    3;    7.7;  92.0;eor
       1270;2022110812;    3;   13.5;  62.0;eor
       1270;2022110818;    3;   12.6;  62.0;eor
       1270;2022110900;    3;   13.4;  63.0;eor
       1270;2022110906;    3;   10.3;  90.0;eor
       1270;2022110912;    3;   14.2;  72.0;eor
       1270;2022110918;    3;   12.2;  80.0;eor
       1270;2022111000;    3;   10.1;  80.0;eor
       1270;2022111006;    3;    7.9;  87.0;eor
       1270;2022111012;    3;   12.6;  71.0;eor
       1270;2022111018;    3;    8.0;  85.0;eor
       1270;2022111100;    3;    5.3;  90.0;eor
       1270;2022111106;    3;    6.1;  85.0;eor
       1270;2022111112;    3;   15.5;  48.0;eor
       1270;2022111118;    3;   10.4;  62.0;eor
       1270;2022111200;    3;    5.0;  76.0;eor
       1270;2022111206;    3;    0.4;  91.0;eor
       1270;2022111212;    3;   10.6;  74.0;eor
       1270;2022111218;    3;    8.2;  79.0;eor
       1270;2022111300;    3;    3.3;  91.0;eor
       1270;2022111306;    3;   -0.7; 100.0;eor
       1270;2022111312;    3;    2.8; 100.0;eor
       1270;2022111318;    3;    1.8; 100.0;eor
       1270;2022111400;    3;    1.0; 100.0;eor
       1270;2022111406;    3;   -1.7; 100.0;eor
       1270;2022111412;    3;    4.4; 100.0;eor
       1270;2022111418;    3;    7.2;  80.0;eor
       1270;2022111500;    3;    8.4;  81.0;eor
       1270;2022111506;    3;    7.6;  82.0;eor
       1270;2022111512;    3;   14.4;  58.0;eor
       1270;2022111518;    3;   11.4;  68.0;eor
       1270;2022111600;    3;   10.8;  67.0;eor
       1270;2022111606;    3;    8.3;  85.0;eor
       1270;2022111612;    3;    8.6;  99.0;eor
       1270;2022111618;    3;    6.3; 100.0;eor
       1270;2022111700;    3;    6.0; 100.0;eor
       1270;2022111706;    3;    5.9;  98.0;eor
       1270;2022111712;    3;    8.8;  91.0;eor
       1270;2022111718;    3;    6.6;  93.0;eor
       1270;2022111800;    3;    6.9;  94.0;eor
       1270;2022111806;    3;    4.6; 100.0;eor
       1270;2022111812;    3;    2.1; 100.0;eor
       1270;2022111818;    3;   -1.8;  94.0;eor
       1270;2022111900;    3;   -2.7;  91.0;eor
       1270;2022111906;    3;   -4.4;  92.0;eor
       1270;2022111912;    3;   -1.8;  72.0;eor
       1270;2022111918;    3;   -4.2;  89.0;eor
       1270;2022112000;    3;   -7.7;  95.0;eor
       1270;2022112006;    3;   -6.9;  91.0;eor
       1270;2022112012;    3;   -2.2;  99.0;eor
       1270;2022112018;    3;   -1.2;  87.0;eor
       1270;2022112100;    3;   -0.1;  99.0;eor
       1270;2022112106;    3;   -0.5;  97.0;eor
       1270;2022112112;    3;   -0.4;  95.0;eor
       1270;2022112118;    3;   -1.1;  99.0;eor
       1270;2022112200;    3;    0.5;  96.0;eor
       1270;2022112206;    3;    2.9;  84.0;eor
       1270;2022112212;    3;    6.2;  78.0;eor
       1270;2022112218;    3;    4.5;  82.0;eor
       1270;2022112300;    3;    5.2;  85.0;eor
       1270;2022112306;    3;    4.1;  89.0;eor
       1270;2022112312;    3;    7.4;  78.0;eor
       1270;2022112318;    3;    3.8;  87.0;eor
       1270;2022112400;    3;    3.5;  91.0;eor
       1270;2022112406;    3;    5.4;  92.0;eor
       1270;2022112412;    3;    8.4;  81.0;eor
       1270;2022112418;    3;    6.5;  88.0;eor
       1270;2022112500;    3;    3.8;  90.0;eor
       1270;2022112506;    3;    3.2;  93.0;eor
       1270;2022112512;    3;    8.1;  83.0;eor
       1270;2022112518;    3;    4.9;  94.0;eor
       1270;2022112600;    3;    5.7;  98.0;eor
       1270;2022112606;    3;    5.6;  98.0;eor
       1270;2022112612;    3;    8.1;  85.0;eor
       1270;2022112618;    3;    5.2;  86.0;eor
       1270;2022112700;    3;    1.3;  95.0;eor
       1270;2022112706;    3;   -0.1;  99.0;eor
       1270;2022112712;    3;    4.5;  86.0;eor
       1270;2022112718;    3;    4.3;  75.0;eor
       1270;2022112800;    3;    4.1;  73.0;eor
       1270;2022112806;    3;    2.3;  82.0;eor
       1270;2022112812;    3;    5.2;  85.0;eor
       1270;2022112818;    3;    4.4;  79.0;eor
       1270;2022112900;    3;    4.6;  95.0;eor
       1270;2022112906;    3;    4.7;  98.0;eor
       1270;2022112912;    3;    5.6;  98.0;eor
       1270;2022112918;    3;    5.4;  98.0;eor
       1270;2022113000;    3;    5.1; 100.0;eor
       1270;2022113006;    3;    4.7; 100.0;eor
       1270;2022113012;    3;    5.3; 100.0;eor
       1270;2022113018;    3;    4.3;  97.0;eor
       1270;2022120100;    3;    2.5;  95.0;eor
       1270;2022120106;    3;    1.0; 100.0;eor
       1270;2022120112;    3;    0.0;  99.0;eor
       1270;2022120118;    3;   -0.5; 100.0;eor
       1270;2022120200;    3;   -1.1; 100.0;eor
       1270;2022120206;    3;   -1.3; 100.0;eor
       1270;2022120212;    3;   -0.9;  99.0;eor
       1270;2022120218;    3;   -1.4; 100.0;eor
       1270;2022120300;    3;   -1.9;  99.0;eor
       1270;2022120306;    3;   -2.3;  98.0;eor
       1270;2022120312;    3;   -2.2;  99.0;eor
       1270;2022120318;    3;   -2.1; 100.0;eor
       1270;2022120400;    3;   -1.4; 100.0;eor
       1270;2022120406;    3;   -0.8; 100.0;eor
       1270;2022120412;    3;   -0.5; 100.0;eor
       1270;2022120418;    3;   -0.4; 100.0;eor
       1270;2022120500;    3;   -0.1; 100.0;eor
       1270;2022120506;    3;    0.0; 100.0;eor
       1270;2022120512;    3;    0.6; 100.0;eor
       1270;2022120518;    3;    0.8; 100.0;eor
       1270;2022120600;    3;    1.0; 100.0;eor
